 ,American Family Field,Angel Stadium,Busch Stadium,Chase Field,Citi Field,Citizens Bank Park,Comerica Park,Coors Field,Dodger Stadium,Fenway Park,Globe Life Field,Great American Ball Park,Guaranteed Rate Field,Kauffman Stadium,loanDepot park,Minute Maid Park,Nationals Park,Oracle Park,Oriole Park at Camden Yards,Petco Park,PNC Park,Progressive Field,RingCentral Coliseum,Rogers Centre,T-Mobile Park,Target Field,Tropicana Field,Truist Park,Wrigley Field,Yankee Stadium,
American Family Field,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,430,0,300,0,0,0,0,
Angel Stadium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,110,0,0,0,0,0,1500,0,0,0,0,
Busch Stadium,0,0,0,0,0,0,0,0,0,0,0,310,0,235,0,680,0,0,0,0,0,0,0,0,0,465,0,0,0,0,
Chase Field,0,0,0,0,0,0,0,580,0,0,870,0,0,0,0,1115,0,650,0,300,0,0,0,0,0,0,0,0,0,0,
Citi Field,0,0,0,0,0,80,0,0,0,195,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,
Citizens Bank Park,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,
Comerica Park,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,90,0,210,0,0,0,0,0,0,
Coors Field,0,0,0,580,0,0,0,0,0,0,650,0,0,560,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,
Dodger Stadium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fenway Park,0,0,0,0,195,0,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,
Globe Life Field,0,0,0,870,0,0,0,650,0,0,0,0,0,460,0,230,0,0,0,0,0,0,0,0,0,0,0,740,0,0,
Great American Ball Park,0,0,310,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,260,225,0,0,0,0,790,375,0,0,
Guaranteed Rate Field,80,0,0,0,0,0,240,0,0,0,0,250,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kauffman Stadium,0,0,235,0,0,0,0,560,0,0,460,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
loanDepot park,0,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,965,930,0,0,0,0,0,0,0,0,0,210,600,0,0,
Minute Maid Park,0,0,680,1115,0,0,0,0,0,0,230,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,
Nationals Park,0,0,0,0,0,90,0,0,0,0,0,0,0,0,930,0,0,0,0,0,195,0,0,0,0,0,0,560,0,0,
Oracle Park,0,340,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,
Oriole Park at Camden Yards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petco Park,0,110,0,300,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PNC Park,0,0,0,0,315,0,0,0,0,0,0,260,0,0,0,0,195,0,0,0,0,115,0,225,0,0,0,0,0,0,
Progressive Field,0,0,0,0,0,0,90,0,0,0,0,225,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,
RingCentral Coliseum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rogers Centre,430,0,0,0,0,0,210,0,0,430,0,0,0,0,0,0,0,0,0,0,225,0,0,0,2070,0,0,0,0,0,
T-Mobile Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,2070,0,1390,0,0,0,0,
Target Field,300,1500,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,0,0,0,
Tropicana Field,0,0,0,0,0,0,0,0,0,0,0,790,0,0,210,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Truist Park,0,0,0,0,0,0,0,0,0,0,740,375,0,0,600,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wrigley Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yankee Stadium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
